2wf7,32.6,2.8
2awe,20.2,8.7
1h8e,67.6,6.4
2cqn,107.0,13.3
4k5n,33.7,2.4
3ze1,50.9,1.4
3mlw,44.7,5.4
1rvk,59.9,4.7
3ecz,44.6,2.0
4ji9,29.2,2.9
2eao,83.6,0.0
4kda,80.9,16.3
418d,124.5,30.2
1shq,59.0,4.8
3ak2,25.5,0.8
2hbf,79.2,8.3
1qtw,27.3,2.3
4mk3,30.8,0.9
1i44,69.2,7.3
2yu1,134.6,27.5
1pkd,55.7,6.4
3bvd,65.8,11.4
3a2g,27.3,0.4
3s2o,57.8,7.7
3e2n,42.5,2.9
2lhz,79.5,0.0
2fb3,64.4,11.7
1cpe,76.8,6.3
3zwa,61.7,7.5
1qm5,85.4,9.0
3bgp,92.7,9.5
4kvs,33.8,3.1
2ork,27.2,1.5
377d,37.7,7.9
2i9y,63.6,4.1
3o6h,38.2,3.9
3n37,34.5,2.5
2g1m,83.6,6.2
3qam,58.4,3.8
3r3q,59.7,2.3
1rty,88.9,7.4
2jk7,88.8,11.4
3h3j,54.9,7.4
4adu,60.4,4.7
1j7w,55.3,2.9
3bab,56.9,1.8
3vll,81.5,7.5
3i8b,57.0,4.8
4b20,101.8,11.5
2kez,31.6,1.3
4fps,36.2,2.2
1rg5,31.5,0.8
1rtx,77.4,10.6
4fgz,34.5,3.7
1po7,30.4,1.3
2lvm,49.9,5.9
3qb9,59.6,6.9
1n1p,53.5,8.3
2k9x,168.0,25.5
2ell,224.9,49.5
3emt,40.1,1.2
3j2d,51.7,10.4
4e5h,32.6,5.5
1pjk,33.1,2.2
2j7o,90.2,19.0
2kjr,52.1,7.7
3ak8,28.6,1.1
2eo4,55.6,2.0
1byy,159.0,5.6
3rfx,41.7,1.7
3po8,35.8,2.7
2eut,28.3,0.6
4ix2,43.6,6.2
3urp,17.3,0.7
3p96,43.2,1.9
2l5i,7.0,0.0
1qon,126.6,21.9
2v85,67.7,9.6
3f41,79.1,8.7
4fkb,50.0,7.0
3v3o,79.1,8.8
4lhw,44.4,5.5
2yuq,132.4,20.8
1uc9,60.2,4.8
1oj8,84.4,9.7
1px3,70.8,7.2
3pw5,113.6,18.9
1uvi,72.0,6.4
3tjw,63.8,4.1
1jlk,90.2,9.7
1wd0,94.3,15.0
2x03,46.5,3.5
1pm9,53.2,2.3
1obo,41.0,2.3
2d1c,59.6,5.2
3atg,47.3,6.4
1rb0,155.2,16.0
2lfm,64.8,0.0
3fy9,88.1,17.3
3dir,10.2,1.1
3box,50.2,2.7
4ab2,132.0,7.1
2jks,44.5,6.9
2m2x,106.4,10.0
2k40,24.4,4.3
2ew3,182.7,33.5
3zd6,87.5,10.3
1xvn,201.1,3.9
1p26,136.1,11.6
1dgm,74.2,7.9
1w5a,124.2,16.2
1m5k,77.1,11.8
1wk0,195.0,38.2
4ksy,40.2,1.0
4gkj,59.6,7.7
2isn,85.3,9.4
3kao,24.8,1.6
3iti,36.9,0.9
2phd,75.4,12.0
3acz,32.4,1.9
4eg6,43.1,2.4
2yw3,48.2,4.2
1ymt,50.2,9.3
1ips,54.0,3.3
1n1o,20.0,5.3
2c2b,26.0,2.2
1yyb,144.0,17.5
3u6m,57.8,6.5
2uxz,51.9,3.4
3dk5,55.0,11.0
1f3p,94.1,8.3
1y77,171.9,35.0
2ezt,32.7,1.1
3k1v,51.1,9.4
1af0,43.5,1.3
2bif,60.2,6.2
4i1g,7.2,0.0
2y87,37.0,3.8
2kbu,23.2,0.0
4f79,62.2,5.7
2d5v,105.2,19.7
3iib,33.9,1.8
3o23,78.3,9.6
3du3,83.9,11.9
1yvj,103.1,18.2
1v13,67.9,9.5
2zi9,73.0,11.5
2aqq,47.2,3.3
2gz7,48.1,5.7
1wxo,52.9,4.7
1ps1,82.1,8.8
4tra,110.6,34.4
2fzw,47.1,3.4
3u6c,51.4,3.3
1cpg,75.4,6.5
1rqj,39.6,1.6
2d2l,59.5,11.2
1iqp,125.2,15.8
1tsx,69.2,5.0
2w2j,88.2,9.9
1k0y,28.8,3.0
3cps,34.7,2.5
3ubv,76.3,7.6
2jn4,150.6,47.1
3a93,29.4,1.5
3ble,91.2,12.3
1qos,55.3,2.9
2c38,48.5,4.3
3uz2,121.0,29.7
3etn,42.3,2.8
2o5c,28.3,1.6
2bja,52.5,3.3
3pqs,62.1,6.4
1kuq,112.7,28.1
4kix,66.7,8.8
2d8a,58.3,5.4
2y4s,49.2,3.1
2fkx,82.2,8.6
2kyg,94.9,5.1
4eex,43.5,2.2
1a3q,91.9,11.2
1f7n,115.2,14.7
2i6k,41.1,4.8
3g3m,39.8,3.7
2b95,192.1,13.2
4f0q,34.4,3.5
1xpe,31.2,7.3
3ei6,28.9,2.1
1khm,102.5,14.5
1f7d,72.0,3.5
1cp6,50.7,4.6
1ra5,55.6,7.4
2v1f,45.9,5.0
327d,2.8,0.0
3eno,145.9,19.7
4dth,22.5,3.0
1sud,32.3,2.6
2pk3,31.9,2.6
1agk,134.6,33.7
1tez,57.7,4.8
2v03,41.5,4.3
3php,46.8,6.7
3n5z,35.4,2.7
4gy0,67.6,8.5
2zeg,55.1,3.5
2qjm,58.9,3.9
2cs1,100.6,7.6
3kyy,39.0,1.2
3ujg,56.5,3.1
3rq5,31.1,1.4
1dzc,64.5,13.8
1rb9,113.9,19.1
1rv1,98.1,17.9
4fj3,37.7,6.8
3ct7,101.3,12.4
2lmq,128.1,23.2
2jk1,40.2,4.4
2kql,68.7,2.2
2r3c,47.7,9.5
1r3k,105.2,12.2
1exc,107.8,15.1
3g3q,88.9,6.8
3a6g,55.5,3.6
4j1x,74.6,4.5
1isu,52.6,4.6
2xc5,26.7,1.9
4g5w,70.5,17.9
3j0j,107.0,29.0
9pcy,29.7,0.0
3kf2,50.1,2.5
1yug,78.4,17.8
1zn5,63.3,33.8
2d3q,92.2,8.3
2qd0,30.8,1.8
3dje,29.3,0.9
2boa,52.6,7.1
2jsl,64.5,9.9
2chk,10.0,0.0
2i3p,89.7,9.3
1rs0,73.7,5.5
2h9y,38.2,2.0
4iue,41.7,2.4
3j2h,52.6,10.0
4fwz,101.5,16.2
1nqx,43.6,1.5
1lkk,73.9,13.1
3n2m,46.1,6.2
2nyq,67.0,7.0
3o8c,56.1,3.7
2lt8,8.7,0.0
224d,43.1,6.7
3kpj,72.5,4.7
3e6k,121.8,18.2
2xnd,31.2,2.5
966c,117.2,21.4
3dy5,78.4,10.9
3hgp,31.3,1.1
2w0u,31.3,1.4
3gph,66.1,9.5
3syi,72.9,7.3
3efs,57.9,5.7
2ibk,62.6,6.7
3ruy,59.6,2.8
3lw6,41.8,3.2
2hlh,33.8,1.5
2rl9,80.8,8.3
2q2r,71.0,11.8
2coi,80.8,8.0
3cgd,30.7,1.9
3npr,52.7,8.1
4k28,61.2,4.5
2jn7,62.9,3.1
2zgz,71.6,4.4
1g5p,98.7,13.7
3v0p,40.5,1.4
3zhb,41.6,3.1
2l5e,125.7,23.6
4hl2,41.4,4.8
2a2v,83.2,12.3
1ebf,99.3,11.8
3gme,36.1,5.6
1zly,78.7,12.8
3ajl,47.6,5.0
2zwt,47.4,7.1
1rn9,60.9,36.9
