101m,15.2,14.4,4.1,3.6
197d,15.7,17.8,1.9,0.7
1a1z,30.5,2.2,2.7,1.4
1aeu,6.0,2.8,5.7,5.6
1ani,13.3,4.5,12.8,17.3
1avl,10.8,4.7,13.4,10.5
1awd,8.6,1.5,3.5,2.1
1b6g,23.6,8.1,10.8,9.3
1bfg,12.6,11.3,3.4,2.6
1bje,22.5,10.4,4.0,3.3
1bub,32.7,14.3,1.7,0.8
1bzw,9.0,2.9,14.3,15.6
1bzz,6.0,1.4,9.7,11.9
1c3h,20.9,12.5,14.0,18.5
1c5v,7.4,2.7,7.0,4.4
1ckt,17.5,14.3,3.7,2.8
1ddg,22.3,9.6,16.9,16.6
1dsr,22.9,0.0,2.6,1.9
1ea1,14.9,5.4,7.8,9.4
1ecx,17.0,5.6,11.9,15.1
1ej0,10.5,4.2,4.3,4.3
1f3s,17.3,6.9,6.4,8.9
1f79,34.9,33.8,2.2,1.0
1ff7,24.6,1.6,13.7,12.7
1g1w,12.8,6.1,4.1,3.7
1gbt,14.3,3.7,4.7,4.1
1gi9,14.8,7.1,6.9,5.1
1hhi,9.6,4.0,12.0,14.3
1hom,7.1,3.2,23.8,27.9
1htd,11.8,4.6,7.5,7.7
1htv,19.1,10.5,5.4,5.2
1i87,24.7,6.0,27.7,29.6
1idy,3.3,0.0,2.4,1.1
1jcg,24.6,12.7,6.1,5.8
1jcl,5.6,1.0,11.5,12.1
1jgp,12.7,19.8,12.4,12.3
1jgw,14.6,6.5,13.6,17.1
1jpi,10.0,4.5,6.7,7.6
1jrs,4.7,1.8,5.1,4.4
1jv5,18.1,7.3,4.6,3.9
1jwn,14.3,3.7,16.0,11.7
1k1a,16.2,9.7,6.3,4.6
1kfr,10.4,5.2,3.9,3.5
1kgl,1.8,0.9,49.1,50.0
1lfg,29.8,19.3,11.3,14.0
1lkb,6.1,1.9,7.3,5.4
1lv8,21.2,12.6,24.8,34.8
1mu0,20.7,7.8,5.7,5.9
1muu,7.9,4.3,26.5,36.4
1ncy,16.7,12.5,3.9,3.2
1nhz,7.9,5.4,5.2,5.2
1nnk,15.1,8.3,6.8,6.1
1npr,23.6,13.2,5.2,4.9
1o2m,6.8,3.5,6.4,4.5
1o34,5.8,0.9,6.3,4.3
1oog,8.3,3.4,6.8,6.0
1otf,15.2,8.8,6.2,6.3
1owb,12.9,7.5,13.6,19.0
1p2t,8.7,2.8,3.9,3.2
1p91,41.3,27.9,9.1,10.3
1pq6,5.1,2.3,14.4,17.5
1qke,31.7,11.4,3.0,1.4
1qpl,6.6,2.5,4.6,3.6
1qr9,21.9,9.2,2.7,1.5
1qub,18.6,7.3,6.0,4.8
1qz4,6.8,3.1,4.6,4.1
1r2z,7.8,4.0,6.3,7.2
1rcu,15.1,7.2,11.0,12.9
1rfv,12.3,4.2,10.0,11.0
1rje,1.0,0.7,18.6,22.7
1ro5,17.9,13.5,5.7,3.8
1rsr,18.3,7.7,11.5,15.6
1rtw,11.4,5.2,14.6,18.0
1s5y,14.2,4.8,9.1,10.5
1t66,17.6,10.1,13.0,14.7
1tb6,21.0,12.7,12.1,14.5
1th7,12.0,3.6,16.3,21.7
1tu8,3.8,2.1,14.3,19.4
1uas,9.3,3.6,7.2,9.6
1uso,13.0,3.9,3.9,3.9
1vis,23.9,13.7,5.9,6.2
1w21,10.7,6.8,25.6,40.7
1w9w,7.4,0.9,4.8,2.9
1wjw,32.7,11.3,30.2,32.6
1wl4,9.7,4.1,9.8,9.6
1wlc,7.6,2.8,3.6,2.8
1wru,23.5,15.1,6.0,6.6
1wxj,9.1,7.1,6.4,5.3
1xih,9.9,2.7,9.3,7.9
1xrm,20.0,8.7,5.7,6.2
1xyu,2.5,0.0,36.0,43.8
1z2g,7.4,0.0,2.5,1.3
1z2o,7.5,2.7,6.4,8.2
1zhi,9.8,5.1,6.2,5.5
1zr0,10.9,8.7,9.8,11.5
2a49,9.7,3.8,7.1,6.5
2axp,25.1,11.3,6.7,6.4
2ay4,9.5,3.1,12.6,15.7
2bvd,6.6,3.5,7.5,7.6
2c7g,4.2,1.7,9.8,10.9
2cho,5.9,2.1,29.9,31.2
2cqr,31.5,15.2,22.2,24.4
2d3f,16.9,5.3,3.1,2.7
2d8b,8.2,1.5,51.4,59.6
2di7,18.3,8.4,34.9,30.9
2dki,11.8,6.0,12.1,13.3
2dx7,12.3,3.8,8.0,10.1
2efd,14.7,4.9,12.4,14.2
2efl,26.4,11.7,6.0,5.8
2eu7,6.7,2.4,5.4,4.3
2evv,12.0,5.5,16.7,15.6
2fec,9.4,5.0,24.3,30.8
2fft,5.3,0.0,20.5,15.5
2fn8,3.8,1.8,5.8,6.4
2gw2,7.7,1.9,5.0,4.0
2h0k,9.6,2.3,14.2,12.4
2h2y,26.5,15.6,8.3,8.6
2h4r,14.0,7.9,6.8,7.3
2hdk,3.9,1.3,11.5,13.2
2hi9,20.7,11.5,22.0,21.2
2htn,12.0,4.2,20.9,28.7
2hzm,19.1,10.1,25.1,31.2
2i99,18.1,11.8,10.1,12.6
2ial,9.8,4.0,13.0,16.0
2ija,6.1,1.4,8.7,6.9
2imj,10.0,3.6,11.7,17.1
2j3k,3.2,1.4,10.7,10.9
2j65,18.9,14.0,13.1,12.4
2jd9,15.5,11.7,3.8,3.1
2jxs,22.8,10.4,7.3,10.2
2jza,14.5,5.0,39.3,38.1
2k07,11.7,7.3,56.2,59.4
2kez,3.0,1.3,7.8,8.6
2kl2,2.7,2.1,48.4,53.6
2klg,22.2,4.9,23.3,23.2
2kly,22.4,13.2,24.9,30.2
2ku4,4.4,0.6,37.1,45.7
2llm,5.8,0.0,12.7,14.1
2m0z,3.4,0.7,29.7,33.1
2m1r,3.7,0.0,25.1,26.5
2m9x,9.3,1.6,37.0,40.9
2noj,32.0,17.3,18.0,23.9
2oex,10.5,3.8,13.2,11.7
2ofh,3.7,0.9,2.5,1.3
2ofw,8.9,4.4,24.8,34.0
2onz,17.4,6.0,8.8,10.5
2p0v,11.1,5.8,14.8,20.1
2p3m,1.6,0.0,41.6,38.3
2prm,17.9,6.3,6.8,7.1
2q5w,9.0,2.5,4.8,4.6
2qcn,6.4,1.9,12.0,12.7
2qco,2.7,1.2,4.5,3.5
2qfv,18.8,10.6,25.3,36.8
2qrb,19.6,10.5,16.4,12.0
2qrn,21.9,12.5,14.6,17.0
2qtu,18.3,12.3,7.7,8.6
2r2b,7.2,2.1,8.7,9.3
2rhk,9.7,3.3,6.9,7.4
2rkm,9.0,3.8,12.9,11.4
2rog,0.7,0.0,20.6,19.5
2v0p,9.5,3.3,9.6,9.7
2v3p,12.2,3.6,7.6,8.0
2v53,44.0,22.0,5.6,4.6
2v57,9.2,4.3,13.0,14.5
2vfd,3.5,0.4,11.5,12.5
2vyc,7.3,3.2,149.2,158.5
2w23,4.5,2.5,8.1,7.2
2w9m,16.8,10.7,15.9,19.4
2wc0,21.8,11.3,30.1,40.2
2wd7,4.9,2.0,21.0,24.0
2wov,9.7,3.3,40.1,37.8
2wsh,11.8,4.7,12.8,11.4
2wuh,13.2,5.9,5.0,4.8
2x63,9.4,6.3,7.1,5.9
2xhv,7.7,3.1,27.6,24.9
2xz5,5.4,3.9,15.9,19.9
2yof,5.7,4.5,14.8,16.0
2ywr,15.0,8.3,5.1,5.1
2z1x,14.2,8.5,8.7,9.1
2zlx,26.2,12.7,9.0,10.0
2zs6,4.0,1.4,10.0,11.5
3a42,25.7,15.5,6.0,6.2
3ai2,6.1,2.5,31.5,49.5
3al3,4.2,2.4,6.5,4.7
3b01,7.6,2.0,22.6,23.3
3b0t,4.0,1.2,6.9,6.4
3b37,5.5,2.0,22.4,21.9
3b8d,25.6,11.8,23.0,33.9
3bcm,18.1,9.1,4.8,5.0
3bef,18.1,8.3,10.1,12.6
3bl0,3.9,6.8,6.7,5.9
3blr,10.5,4.0,9.5,9.6
3bsq,29.5,27.4,10.5,11.7
3bym,11.1,5.4,5.7,6.5
3cfb,7.0,3.3,18.1,18.0
3ci7,5.9,0.3,4.9,4.8
3cjm,4.1,0.9,7.3,6.9
3coi,6.0,2.4,8.3,6.8
3cpm,23.1,13.8,4.4,3.9
3cwn,3.9,1.2,14.8,15.6
3d5b,23.4,14.5,134.4,200.3
3dol,21.2,11.8,15.7,16.6
3dus,19.9,9.9,8.0,10.1
3dyp,14.3,5.5,77.5,105.6
3dzr,8.4,3.2,7.0,5.1
3e1c,3.5,1.2,77.8,98.2
3ena,6.4,2.1,5.5,6.4
3erw,21.4,13.7,21.3,18.5
3f1o,9.3,4.6,7.0,5.6
3f92,5.1,1.2,6.0,4.1
3fa1,3.6,4.0,1.6,0.4
3fen,10.8,7.6,7.9,6.1
3fjl,6.8,4.3,8.9,8.6
3fmu,15.6,2.6,10.0,8.0
3g14,5.8,1.9,8.9,8.5
3gk4,10.6,4.7,3.0,1.8
3gvq,9.2,3.8,8.6,7.6
3gvx,12.8,6.4,13.9,11.4
3h7i,5.8,3.0,6.2,7.0
3h9o,12.2,3.7,5.6,5.5
3hsj,13.8,6.4,5.6,4.4
3htx,33.9,21.9,24.7,31.0
3hzr,13.4,5.8,32.3,41.4
3ix9,17.0,7.0,6.8,8.4
3j32,20.6,21.0,7.3,8.6
3k1x,13.8,10.7,12.3,14.6
3k7x,9.5,4.8,7.3,9.0
3kl0,5.3,1.4,42.2,40.2
3kwg,3.8,1.0,5.2,5.2
3kwu,4.7,5.1,4.9,3.3
3lby,9.2,4.4,6.3,6.6
3lrv,13.3,7.1,6.0,5.5
3ltm,17.6,9.2,7.8,8.7
3lw7,4.8,2.4,8.4,6.4
3m4r,6.1,0.6,5.9,4.5
3ma0,5.3,1.3,14.2,19.0
3mg8,5.1,3.2,88.8,115.8
3mpr,9.9,5.7,24.9,27.6
3muu,33.0,19.8,51.1,57.8
3mw8,5.8,3.3,6.7,5.5
3n1t,26.3,20.8,8.1,10.6
3n85,7.8,3.5,18.0,15.8
3nlv,6.1,1.7,18.5,18.6
3o0g,7.3,5.4,13.6,17.4
3o2y,22.8,16.5,7.2,6.7
3o8v,16.2,6.5,3.0,1.6
3ozo,3.8,1.3,13.2,13.6
3ozx,10.4,4.9,16.1,22.0
3p1i,6.5,3.0,8.5,9.7
3p3t,13.6,10.8,8.2,5.0
3p5w,6.1,1.8,6.0,4.8
3pto,31.1,20.0,29.4,34.4
3q40,6.1,1.7,7.6,7.1
3qhb,15.0,6.3,9.3,9.4
3qwp,8.6,6.6,10.4,10.6
3rk9,15.5,6.4,7.6,6.6
3roc,7.1,2.5,6.7,7.5
3sja,17.3,7.2,28.8,35.2
3so4,20.1,17.4,21.3,27.3
3t42,9.5,5.6,8.4,8.7
