4by9,0.90,0.90,0.00,0.0
3k7h,10.10,9.40,0.70,0.0
1gm0,2.90,2.90,0.00,0.0
3gpi,9.00,7.90,1.10,0.0
3k8u,7.50,7.00,0.40,0.0
1uqc,0.00,0.00,0.00,0.0
3tcv,5.30,5.20,0.10,0.0
1vly,9.90,8.80,0.90,0.2
5prn,10.60,10.20,0.40,0.0
3pgw,1.00,0.00,0.00,1.0
1te2,10.80,9.60,1.10,0.1
3pz6,11.40,9.80,1.60,0.0
3a15,7.40,7.20,0.20,0.0
3k6q,11.10,9.50,1.60,0.0
3nio,2.90,2.90,0.00,0.0
2oy7,7.20,7.20,0.00,0.0
4ajt,10.30,8.70,1.60,0.0
1fri,19.80,19.20,0.60,0.0
1dz0,20.40,17.30,3.10,0.0
3mo4,11.20,10.90,0.30,0.0
3hnx,11.70,10.70,1.00,0.0
3r25,13.90,13.70,0.20,0.0
1jqm,0.00,0.00,0.00,0.0
2qjv,9.00,8.30,0.80,0.0
1ucg,10.50,9.50,1.00,0.0
3i1c,7.40,7.00,0.40,0.0
1zt7,14.50,12.90,1.60,0.0
3c3y,11.70,11.40,0.30,0.0
1kyh,15.70,14.30,1.40,0.0
1vtu,21.80,19.40,2.40,0.0
1o22,14.30,10.10,4.30,0.0
1jqs,0.00,0.00,0.00,0.0
3nma,6.40,5.90,0.50,0.0
4bi3,6.90,6.20,0.70,0.0
3npx,4.20,4.20,0.00,0.0
2a13,9.70,8.60,0.40,0.7
3snz,8.10,8.10,0.00,0.0
4e0j,11.30,11.00,0.30,0.0
2m07,8.20,8.20,0.00,0.0
2hyk,7.70,7.50,0.30,0.0
4jn4,17.30,16.80,0.50,0.0
2nug,14.30,13.40,0.90,0.0
1jqt,0.00,0.00,0.00,0.0
2g5g,12.20,10.70,1.60,0.0
4lak,5.30,5.20,0.10,0.0
3ksu,3.80,3.60,0.10,0.0
3nh0,15.30,14.90,0.40,0.0
1xju,10.40,7.80,1.70,0.9
1d5l,19.10,18.70,0.30,0.2
1kvp,2.00,0.00,0.00,2.0
2ofs,14.50,12.10,2.40,0.0
3k50,7.90,6.80,1.10,0.0
3dxc,11.40,10.20,1.20,0.0
1vfr,8.40,8.10,0.30,0.0
3w9d,11.90,11.60,0.30,0.0
1n8e,2.20,0.00,0.70,1.5
3vrf,22.00,19.80,2.30,0.0
3txy,16.20,3.30,12.90,0.0
1hd6,7.30,7.30,0.00,0.0
1mi6,0.00,0.00,0.00,0.0
4gum,10.00,9.40,0.60,0.0
2y1e,5.90,5.00,0.80,0.1
4m0h,8.60,7.00,1.60,0.0
3uv0,8.10,8.10,0.00,0.0
2uyu,15.40,14.30,0.60,0.5
4dt0,19.80,19.80,0.00,0.0
1tze,19.60,14.00,5.60,0.0
4iqx,7.80,7.40,0.40,0.0
2x5a,8.00,7.50,0.40,0.0
1mvr,2.00,0.00,0.00,2.0
2au3,11.10,10.40,0.70,0.0
4fb2,10.90,10.60,0.20,0.0
1osa,23.30,18.80,3.70,0.8
1o50,8.00,7.20,0.40,0.4
4a3o,21.70,16.80,4.90,0.0
3qtg,8.70,8.60,0.00,0.1
2ahs,8.30,6.80,1.30,0.2
4l58,8.50,6.90,1.50,0.0
3e9d,7.80,7.30,0.40,0.1
1p6g,0.00,0.00,0.00,0.0
3t7l,10.50,7.70,1.40,1.4
3n4e,6.90,6.90,0.00,0.0
4bbc,4.30,4.20,0.10,0.0
3csg,13.70,13.20,0.40,0.0
2bqc,11.40,10.00,1.40,0.0
4gvw,6.20,5.50,0.70,0.0
1y02,13.00,11.80,1.20,0.0
3c19,14.70,10.50,4.20,0.0
3qzu,5.40,5.20,0.20,0.0
3n6x,7.30,7.10,0.10,0.0
3r4i,11.30,10.10,1.20,0.0
3o6p,8.80,8.10,0.70,0.0
4dga,10.50,8.70,1.80,0.0
1c9m,12.20,12.00,0.30,0.0
2sgf,9.60,9.30,0.30,0.0
1th1,7.70,7.60,0.10,0.0
4goc,13.40,12.10,0.50,0.8
4hcw,7.40,7.10,0.30,0.0
2xi5,9.90,9.40,0.50,0.0
3p83,9.00,8.70,0.30,0.0
1p87,0.00,0.00,0.00,0.0
2vhs,5.70,5.60,0.10,0.0
3s5f,12.10,9.30,2.80,0.0
3lhm,10.80,7.50,3.30,0.0
3r0s,14.00,13.50,0.50,0.0
3dvw,6.80,5.90,0.90,0.0
2rso,5.10,5.10,0.00,0.0
4gd0,4.90,4.90,0.00,0.0
3bz5,6.20,5.50,0.70,0.0
3fhd,7.80,7.30,0.50,0.0
2p17,10.50,10.30,0.20,0.0
4jbe,7.80,7.00,0.50,0.3
2wfo,15.30,13.80,1.50,0.0
2l1f,3.00,3.00,0.00,0.0
3apa,10.50,10.10,0.40,0.0
3l94,6.90,6.40,0.50,0.0
1c9n,14.00,10.90,3.10,0.0
