2npk,2.3,1.8
2vw5,2.9,2.7
1vet,10.3,13.5
3mc2,14.8,13.1
3lc5,1.6,0.9
3zmn,2.1,1.4
2fg4,8.3,7.5
3hnh,6.1,7.0
3nej,25.5,26.0
2f5t,5.6,4.7
2j7c,4.1,2.3
4kbg,4.2,2.5
2nnw,14.2,13.4
2nmm,5.7,6.3
4ag4,8.3,11.1
3ihc,4.3,5.4
3ekv,1.5,0.9
3m57,5.5,2.5
1rz4,3.1,2.6
3dl1,1.8,0.0
3l64,9.5,11.6
1p1u,4.6,4.0
4l11,17.3,18.1
1b6d,6.0,8.4
3nzs,6.8,5.9
1hg7,15.1,11.7
4hym,4.3,5.6
1s7w,3.4,4.1
2brc,4.7,6.6
3mjq,14.9,15.9
3hgx,2.5,1.3
1niq,9.1,19.9
4f1t,16.8,36.2
1a0h,24.4,28.8
4g7n,3.9,4.9
2ya4,2.1,2.1
3leg,1.7,2.2
2w07,8.1,7.4
4efa,1.9,1.6
3tm5,11.0,13.9
2gj7,17.4,16.9
1xxl,2.6,1.9
1eve,4.7,2.5
1lsn,8.0,7.6
2jj6,11.7,13.5
1aow,17.4,16.6
3c35,3.5,2.7
1gow,10.5,15.2
1af3,4.7,3.1
3dwy,1.5,1.9
2ddq,5.5,3.7
2ga4,2.2,2.4
3pl3,2.7,2.8
2cxa,5.9,6.3
3d29,7.6,8.7
2hxr,11.2,11.7
4dp5,6.1,7.8
3zzf,2.4,1.7
1kdq,12.2,9.2
1bl1,0.0,0.0
4e0s,21.2,32.1
1e06,4.8,2.2
1pnj,4.5,0.8
4ff5,7.3,7.3
3cm0,4.6,4.4
2fe5,6.8,3.8
1uwi,5.4,6.6
3lr6,5.5,6.7
3oz0,0.7,1.0
1xwb,3.0,2.6
2fke,4.8,1.1
4i39,15.3,15.0
2c2y,7.3,5.5
1dyf,6.9,5.7
4jqy,2.4,2.3
3u3s,6.6,7.4
3voq,4.1,3.9
2z3d,4.9,4.3
2d2o,8.0,8.0
3sd6,13.8,9.8
1ulu,4.5,4.8
3daq,1.0,1.1
1kp4,2.6,2.7
2nro,4.9,4.2
3a4f,9.4,15.5
1ao5,8.6,6.1
3d1e,9.3,9.5
1mi5,8.2,7.4
3htm,7.3,8.2
2w2b,0.3,0.2
2aie,4.5,4.2
4iyq,1.2,1.8
3jt2,11.9,10.9
3nti,14.0,18.0
1ns0,5.8,4.1
1ri3,10.2,9.9
3ufl,2.6,2.7
3ph0,18.0,22.0
1w7q,30.2,10.9
3p97,3.0,3.9
3cmj,1.2,0.6
3mki,3.8,2.8
4b7n,2.2,0.2
3sgb,2.6,6.1
3k2y,7.7,7.2
4hzk,5.3,6.3
1f2s,3.6,1.4
2qnj,6.8,5.4
3tes,6.3,5.7
1syq,14.8,15.0
1poa,8.5,5.2
3fdj,2.1,2.2
2rkk,10.7,7.6
1u2k,11.4,17.3
3s13,2.3,2.3
1fg6,1.5,1.2
1oy9,6.5,4.1
2j22,5.2,1.8
2zag,10.0,9.6
4kip,2.6,1.2
1tsf,8.4,7.5
3puk,14.2,11.6
2zqq,6.8,6.6
1y47,27.2,21.6
1hsm,7.9,10.3
2wwx,1.8,2.9
1h01,4.1,4.1
2xen,6.2,4.3
2zhi,5.6,6.0
1s7v,7.8,10.2
2qw6,2.3,3.1
2fk1,3.0,2.2
2pr4,10.7,11.9
1tbx,11.3,13.6
4hfs,2.1,3.0
2dex,3.4,3.6
1g7k,9.5,10.9
2xng,5.9,4.6
4iu3,1.1,2.1
2hu7,1.5,1.9
1a3j,41.8,0.0
3agk,9.2,10.4
3v39,3.9,4.1
3k26,4.7,4.8
2dbb,6.5,5.6
3l0i,4.4,4.3
2ftd,8.6,10.6
3upv,4.1,6.8
1n1a,14.3,13.2
1b1e,11.0,10.7
3gbb,7.4,7.1
3zw2,4.2,1.2
3p5i,3.0,3.0
1geq,7.5,7.7
3ppn,4.6,8.5
3udb,24.0,36.3
1dfa,13.2,11.7
3gse,3.2,5.2
3vq8,4.6,4.3
2ejk,4.8,4.7
3ph9,1.7,0.9
3dvt,5.0,4.4
2p2y,10.1,9.6
3ozh,2.4,1.3
3coy,3.8,3.5
3ce0,5.5,3.9
1lyb,11.3,7.9
3up6,2.0,1.9
2r04,13.7,22.3
4dno,2.7,2.0
2ntp,1.4,2.0
1nxx,8.4,12.9
3ljn,4.5,7.1
2vck,2.3,2.9
2p4b,12.2,15.3
3o8w,5.2,3.0
2gue,13.9,21.6
3l76,9.8,8.1
3als,5.1,5.8
2e2t,5.0,4.0
2ev3,3.4,2.4
2qc2,15.5,17.4
4bqt,1.5,1.5
2x01,6.0,5.6
2bk6,1.4,1.2
3zcm,5.1,5.7
2h2c,0.6,1.2
3btn,4.2,4.9
3dro,18.4,25.3
1ng8,0.0,0.0
1qqi,3.0,0.6
1t7s,13.7,13.6
1izd,2.9,2.6
1njh,12.8,11.7
1j0z,3.8,2.9
3gbl,2.9,3.9
4ig6,1.6,1.4
3t1f,5.0,5.0
1yii,3.5,2.6
2nxe,4.1,3.3
2w4b,17.2,21.4
2z0v,17.2,18.3
2za2,19.6,27.1
3rl2,6.3,6.2
1w16,5.7,5.4
4hwi,4.2,2.5
1pci,10.2,8.3
3ub4,12.4,13.9
4ac7,1.9,0.7
1g5n,4.5,3.6
1qsj,13.0,18.0
4hvt,1.4,0.7
2qqj,2.1,0.4
4eo2,14.0,24.0
1cxk,6.4,3.6
3mh3,7.6,7.5
3gh6,0.3,0.9
1ir7,2.5,1.5
1ijn,8.9,16.4
1s7k,5.3,6.0
3l3f,0.6,0.8
3kq5,2.6,2.1
4jtj,2.6,2.4
3nsf,2.1,2.6
1n82,5.7,4.5
4dj7,9.6,7.6
2f9w,3.2,1.6
4mf5,1.4,4.7
3rpu,16.4,19.2
3oxn,16.2,17.3
1pzt,3.8,3.5
2wjl,8.7,8.2
1ois,6.2,6.9
4m4e,13.6,16.6
2e2n,3.8,4.8
3mvp,2.9,2.2
3p2e,5.1,4.9
3uvn,1.8,1.1
4ipb,1.0,1.8
2qgo,1.7,1.1
2o6k,4.5,8.8
4f0j,2.2,3.1
2r5g,3.2,4.6
3zjf,4.8,2.9
3erm,9.8,9.7
3a23,1.5,1.5
3baw,5.1,5.8
4dv9,4.0,3.3
3mlt,6.5,7.3
2qvj,5.7,3.5
1k89,11.2,13.3
3du6,5.7,4.3
3dwm,8.4,4.4
2x6o,2.9,2.0
3hkr,1.5,1.5
3n0e,4.9,5.2
3k8e,4.7,5.6
2ak5,8.6,6.9
1k7c,5.0,3.5
4b0j,0.6,1.4
4j73,6.0,3.2
3blx,12.3,11.6
2ejz,4.8,5.0
1pze,5.0,1.8
3omc,1.0,0.3
2git,2.5,0.9
1fks,7.2,13.8
2rik,1.6,4.1
3o2h,2.7,1.2
3sok,8.0,5.5
3t38,4.7,5.3
2hb0,4.6,6.2
1y3c,4.2,3.6
2dyc,4.2,5.6
3i8u,3.5,4.5
1xgd,3.4,2.8
4dka,1.0,1.1
3fhf,7.9,7.2
1poh,15.8,25.3
3pfb,9.0,17.4
1sgu,5.4,6.5
3ixs,6.7,5.4
3p5w,3.2,1.8
1pxs,9.3,10.4
4gmc,9.4,10.2
3qrc,8.2,11.2
4gpi,5.3,3.1
2bgr,2.6,2.5
4dmd,10.8,5.5
1azz,3.0,2.8
4ful,2.4,1.3
2evd,3.3,2.6
4fcf,2.3,2.2
3sbg,7.8,4.0
2a5c,16.4,21.3
2r5p,2.4,3.3
1hsi,6.6,6.5
3dqm,8.9,18.4
1h9h,4.3,4.8
4k8j,5.3,4.9
3abn,0.0,0.0
1hus,17.7,25.4
2ge8,9.7,8.7
3b80,3.4,5.0
2od6,3.8,7.7
1etk,2.3,1.6
3n72,3.0,2.2
2iwo,2.1,1.1
3c6f,2.3,1.0
4ev1,4.9,9.3
3hxk,22.0,20.2
1ivp,11.1,26.4
1pk3,2.1,4.4
3eat,3.1,2.8
2af7,18.3,20.1
3v47,3.2,2.2
1gz7,6.5,5.6
2agc,14.9,17.2
3n2t,5.6,2.1
4hg7,1.7,1.7
2pn7,3.2,3.8
2zvw,2.8,1.8
3i8s,4.3,5.4
4b4c,5.8,4.5
1o9q,8.0,7.8
2w2n,1.4,1.4
2fph,10.7,12.8
3eup,5.3,8.9
3lk2,3.5,5.0
3ibr,19.6,25.3
3eym,4.5,5.7
2wjw,6.2,5.0
1smr,10.1,6.8
2vxq,5.9,3.6
2q9s,0.0,0.0
2xfj,1.7,1.2
1aqk,16.4,21.6
1bng,2.3,2.2
3vgi,4.6,6.0
1swt,2.8,2.9
3zy1,3.0,3.0
3blk,1.9,1.3
2auk,11.3,10.4
1v1h,3.5,2.3
1itx,5.5,5.8
2yez,1.3,1.7
3hdi,9.3,9.5
3g56,10.1,13.6
1tvx,10.9,9.9
2wql,0.5,1.9
2pso,4.6,2.4
3s5s,4.1,4.8
3cab,3.1,2.7
1rav,16.2,6.3
2z2m,1.8,1.5
2fgg,19.6,32.5
3pge,16.2,13.2
2z0x,2.6,4.6
1x3f,8.0,7.2
1o8i,3.5,3.8
4hyy,11.2,12.8
1itm,8.0,8.0
3c8n,4.1,3.4
1qz1,9.1,11.0
3llb,3.0,0.8
3lj4,26.0,33.3
1u30,2.0,0.5
107l,5.0,6.1
2btj,6.2,6.2
2xlg,1.9,1.4
3vhz,8.7,9.1
2h11,2.6,2.6
1ejr,3.4,2.0
4e44,0.4,0.8
2ok3,2.2,2.8
3nf1,1.9,0.2
2exi,3.7,3.2
1gkt,8.3,10.4
1xb2,6.7,6.7
3qaa,6.1,4.4
2ok4,1.6,1.4
3erx,2.4,3.0
1aa5,33.4,80.2
1cdz,28.6,17.8
1kso,6.0,5.4
1dem,3.0,2.0
3g9h,11.9,15.8
3kg7,3.8,1.9
1wv7,6.4,7.0
2izj,5.8,2.2
3cad,36.3,41.2
2hpl,2.2,1.2
3f1l,5.3,8.2
2pt0,1.8,1.2
1j8e,3.2,3.3
3f42,5.2,5.1
4a8u,6.3,12.7
3hcy,15.6,24.5
3iz6,16.1,26.8
3ebk,7.1,11.6
1viz,4.1,4.7
1miq,8.9,10.8
4hsv,6.7,4.2
3uyj,5.0,7.1
1dn2,7.0,2.6
2opi,5.3,5.8
1t0n,6.9,7.6
3t53,13.1,11.6
3eo4,6.4,8.4
1pf8,4.9,3.5
4go6,9.6,12.8
2rs3,13.6,22.0
4b9j,8.9,4.3
1h99,7.0,5.3
1fo2,6.7,8.5
2f0t,9.9,9.4
2wsq,9.7,13.1
3zfn,4.2,5.3
3de6,8.0,5.8
2pxw,3.7,3.7
1y7y,9.5,12.9
3h3p,4.4,5.7
2rta,12.4,3.7
1jdw,3.9,2.2
3drx,12.4,15.2
2wjk,8.8,7.7
4f2u,4.1,3.5
4log,7.7,8.1
2vi3,7.4,3.2
4fzj,6.3,7.0
1zce,1.9,1.3
1gvz,2.5,6.1
3syv,11.1,14.3
3zfo,2.5,1.3
2vaa,4.0,3.4
1oqf,6.3,7.8
2j3t,7.7,9.1
3sh0,3.5,4.9
4end,3.0,1.1
1v7q,3.6,3.4
3bde,2.4,1.2
1jyf,8.9,9.7
3q6a,4.1,4.7
3lno,3.2,2.2
3ide,11.3,7.9
3zz8,5.4,5.1
1rd6,4.5,4.9
4k3r,0.9,1.2
4ay3,2.2,1.2
2ww0,8.7,12.5
1za4,6.6,3.7
1kdf,3.0,3.0
3h23,4.6,4.9
1snd,7.4,8.6
3pax,4.6,3.0
3k1h,0.5,0.0
1xwo,13.5,14.6
2r6c,14.5,18.3
3vp8,6.9,5.6
1e69,13.4,11.9
1b1u,24.9,34.1
1e6i,3.0,6.3
3bqv,3.4,5.7
3ur9,1.9,2.0
3ln9,9.9,14.9
3e0w,4.7,3.2
1bui,14.5,14.0
3iux,3.7,2.8
2oki,17.5,17.5
2izv,1.8,0.9
3osi,9.2,8.0
1ei8,16.1,15.1
2zb5,9.3,7.8
