1x57,8.9,0.0,33.9,34.9
3aa7,14.8,2.2,21.4,13.8
4efo,20.4,2.5,5.6,5.7
1bvz,19.0,4.7,24.4,36.7
3u45,16.9,2.4,12.7,9.3
4jwp,11.7,1.6,9.5,10.7
1izd,18.1,2.6,7.6,10.4
2iu7,20.7,8.4,47.9,54.4
1d8d,18.2,2.7,18.0,23.4
1g7c,23.6,5.8,13.8,15.2
1h3f,22.0,6.6,16.7,21.9
2pqw,13.8,1.4,12.3,11.4
1d6d,49.9,33.6,9.7,11.8
3hub,19.3,6.5,8.8,8.7
3dab,17.9,1.9,9.8,10.7
3mig,17.4,4.2,9.3,6.6
9jdw,28.5,14.4,10.4,10.6
3nc9,21.8,7.4,15.0,14.0
3o90,4.7,0.6,24.4,23.2
285d,23.3,15.8,3.3,1.6
2xpo,15.6,2.6,9.6,9.5
1q8z,32.8,11.3,17.3,20.4
1xhc,10.6,0.9,12.1,8.0
3tt7,25.1,4.2,28.5,31.6
3sze,14.6,1.9,30.4,24.2
3u9z,29.3,17.6,11.9,13.4
1cx9,25.5,5.6,17.9,19.9
2jym,1.5,0.0,15.4,18.8
1bas,18.8,1.6,5.1,3.1
2p14,12.7,3.4,9.0,6.2
1prw,27.4,8.3,5.3,3.9
2c0m,20.1,5.3,32.0,31.2
4b9u,12.4,1.9,22.1,19.7
3u44,34.4,14.9,44.4,55.0
2o7w,1.8,0.0,12.4,9.6
1p2b,20.8,4.1,20.0,23.3
1qqu,23.8,12.6,7.1,5.8
4f39,11.2,3.1,7.7,8.9
1q0z,15.7,4.0,10.5,9.6
3gpi,14.9,4.2,10.1,8.3
3fwx,11.3,2.8,9.0,10.7
3bnm,20.8,5.2,21.3,26.8
3kv4,26.9,7.8,14.4,12.5
1frk,26.5,2.5,4.8,3.1
1rlv,42.4,16.4,15.7,15.9
2p09,9.6,1.6,4.7,2.7
3f11,21.0,6.1,8.6,9.5
2lpf,7.7,0.0,3.0,1.1
1mcs,43.7,23.1,9.4,10.9
2oaw,17.7,3.6,9.4,7.6
1t5k,18.9,7.4,13.6,13.7
3sav,21.6,3.8,7.9,7.3
2w0g,22.6,4.7,5.7,3.5
1crz,32.6,11.8,10.9,12.2
3j21,20.1,5.8,101.6,103.8
4hj9,14.1,1.9,6.6,5.0
1kf0,24.2,4.7,8.8,8.3
1cy8,25.2,10.7,12.6,16.3
3ntb,10.2,0.8,48.7,63.9
3lqg,12.6,2.6,10.7,10.4
4jkv,7.1,3.2,22.5,22.2
3uk2,12.4,1.3,18.2,14.4
2f27,23.3,4.0,16.7,20.0
4fuv,17.8,3.0,9.1,5.3
4hk7,12.5,1.4,30.4,37.4
1tuf,27.0,5.8,21.1,23.5
2dw1,25.5,7.0,16.5,23.1
2gf0,15.5,3.6,21.8,21.2
3rpz,13.3,0.2,10.3,8.5
2jjt,18.0,1.4,12.4,11.0
4dfj,16.7,3.6,18.5,18.5
4m8u,12.4,1.8,20.7,19.8
3rlm,16.7,4.2,45.6,49.3
4j5w,24.4,6.8,29.4,27.7
1npn,18.8,6.5,24.1,32.0
4io3,14.9,1.7,15.9,16.5
2vk9,13.9,1.9,11.5,11.8
1xtp,10.7,0.8,9.7,8.5
1y0j,28.6,9.7,30.9,30.9
2jox,7.1,0.0,42.0,67.8
2ijq,13.2,4.3,9.4,8.5
3uww,11.2,3.0,12.3,12.1
1fnt,35.2,17.7,214.6,274.0
1kab,16.3,1.4,5.8,3.6
4e9t,19.9,1.8,17.6,13.3
4geb,9.0,0.7,19.3,28.3
2zil,7.9,3.5,4.9,3.3
1dth,13.8,6.6,10.6,9.3
4ei2,24.0,4.7,121.0,107.7
2a0p,8.5,0.0,2.9,1.4
4j9s,17.2,4.8,14.8,12.4
2lwx,23.5,9.0,46.1,56.6
3m0v,17.4,3.0,34.0,68.1
2oyn,11.3,0.8,8.0,4.6
3s6y,24.2,4.5,31.7,24.5
1whg,22.4,1.2,42.8,36.5
4pep,20.1,3.6,9.5,9.3
3m98,15.8,2.9,13.3,10.1
1ldc,37.8,10.6,25.3,27.6
3g9n,23.4,11.5,11.7,10.9
1ef0,33.3,14.8,26.5,29.0
3sj4,29.3,12.8,5.5,3.2
4kis,40.5,23.8,44.8,47.8
2hyx,16.9,2.1,35.0,44.7
3gsq,10.4,1.6,16.3,13.8
1xpf,8.0,9.1,5.0,2.8
3p13,13.1,1.4,16.9,17.4
1pem,27.3,10.4,19.8,20.8
2lro,7.3,0.0,92.1,93.0
2obl,20.4,8.3,14.4,11.8
2y2q,22.2,6.5,25.0,25.5
4bft,22.6,7.4,16.2,14.4
1ddg,30.5,9.6,21.4,20.2
1zf1,51.5,43.0,3.2,2.0
1us8,23.1,5.7,9.2,7.4
3qsi,23.7,5.3,15.5,16.4
1po8,26.8,16.4,4.6,2.6
3gsk,12.0,14.3,2.7,1.7
2cqd,19.9,7.7,56.0,47.4
2gr6,27.5,6.1,24.4,21.7
4h2v,15.3,2.3,33.8,33.0
1tmt,26.3,5.7,7.4,8.5
1x10,33.3,8.3,18.5,35.0
3q47,16.7,2.2,4.7,3.9
3bl1,25.7,10.3,15.9,9.4
2lgf,44.8,24.2,4.6,3.8
4hf7,5.9,0.9,7.4,5.8
3kvx,17.4,11.4,14.1,9.5
2zfs,16.8,0.6,11.4,8.7
1yyl,34.2,11.8,44.6,46.8
4iz6,20.2,4.6,33.6,34.8
3l2w,20.2,6.4,16.4,18.2
1ldf,19.0,3.5,9.5,8.8
3gh3,19.9,4.5,22.1,19.3
1ztm,40.3,15.6,32.5,34.6
1dj0,15.6,2.0,16.0,19.7
2ado,23.8,4.5,11.8,12.9
1e1m,16.9,3.3,17.0,16.5
4kai,11.2,1.2,41.3,35.3
2q46,28.7,10.4,80.7,104.5
1w2b,36.4,23.2,355.5,419.4
3ayq,20.3,4.7,7.5,5.5
3pxw,11.4,2.3,62.4,61.1
1g5b,21.5,6.5,19.3,24.0
3qy0,18.8,7.0,11.3,9.3
1h0w,28.5,15.9,12.3,9.3
4fy8,37.4,15.0,128.3,151.8
3par,26.1,8.1,5.9,4.8
