1l6f,6.3,4.8,12.7,15.4
1qui,4.2,3.9,6.3,6.6
2aqu,19.0,18.6,5.3,4.3
1q7a,10.9,11.0,3.5,2.5
2ziw,23.9,20.3,8.8,8.7
3v8x,12.4,6.3,27.5,26.7
2aq2,4.9,4.0,8.1,7.5
3ege,0.5,0.5,7.0,5.2
1jvy,12.5,9.9,9.3,8.9
4bcc,2.2,2.5,12.6,17.6
2fxj,2.3,2.3,37.7,35.2
2o74,3.8,4.5,16.7,23.2
3u60,29.8,25.9,34.5,39.3
2ywg,17.6,13.6,9.6,10.5
1gb3,2.6,3.0,4.6,3.2
4hxn,0.9,0.9,4.6,3.1
2po6,7.3,4.9,24.4,26.0
1nki,1.3,1.9,10.2,6.7
2pae,20.1,18.3,5.7,5.8
2a84,1.1,0.5,7.4,6.1
1s5w,1.3,1.2,9.7,11.7
3q54,3.4,1.9,6.8,7.2
1lk7,8.7,9.1,19.2,20.0
3our,10.1,8.8,31.9,44.2
1g1f,1.0,0.2,6.1,6.0
1wg1,30.3,8.2,28.0,26.6
4bl0,1.5,1.5,16.3,15.4
3rm3,4.4,3.1,6.7,5.7
2jyk,4.4,7.5,13.1,21.1
3p84,2.4,1.6,9.5,9.5
3vm8,6.3,5.0,7.3,6.7
1abi,40.0,32.5,6.2,6.9
2cx4,23.4,18.5,21.7,26.0
4iie,17.4,2.0,35.3,43.3
1t8e,12.1,10.3,14.8,18.8
3qrl,4.9,3.9,4.8,3.1
1avv,17.6,15.8,3.2,1.9
1vsc,11.9,9.7,7.3,7.5
1ypb,0.9,0.0,3.0,1.3
3krg,6.3,8.1,7.8,10.4
3j1b,0.7,0.3,112.1,129.7
1ova,4.8,2.8,24.1,29.5
3mji,8.8,6.9,20.2,27.2
4e2k,3.1,2.6,8.9,7.1
3cph,1.9,2.0,16.2,18.3
1i33,11.9,8.5,31.1,40.4
1rcc,8.6,4.4,5.5,3.2
1smh,1.6,2.4,7.2,7.7
3d98,9.4,5.5,9.2,6.8
4lao,1.7,1.1,12.0,15.5
3vsi,3.5,3.0,17.5,23.8
1te2,3.0,3.6,11.5,10.9
4ftq,1.2,1.0,6.9,5.4
1lap,7.1,4.5,8.6,8.3
3bre,11.5,9.6,10.7,11.7
3vbq,4.4,3.2,7.3,6.0
385d,48.8,38.5,1.8,0.4
2lve,2.3,1.8,3.2,2.1
1mkz,3.2,2.8,8.8,7.2
2bc5,17.9,9.1,8.0,9.2
2dqs,14.8,11.5,19.3,19.8
1uiv,9.9,8.1,16.1,20.6
2ee8,27.5,5.9,32.7,29.8
2ozu,4.4,4.8,7.2,5.5
1nqv,2.1,0.8,13.8,17.6
2vi7,6.0,3.5,11.8,9.7
3du8,3.4,2.9,11.4,12.7
2ioa,13.9,12.8,18.9,24.2
1ppj,12.0,8.5,61.3,89.7
3t4p,5.9,3.7,6.3,6.9
3sl1,5.8,5.0,8.4,7.3
4kc5,1.6,1.5,62.9,77.7
4bbb,1.2,1.8,11.8,14.2
3vhb,26.5,25.4,5.8,6.0
3o6y,6.5,5.7,5.4,5.2
2psx,14.0,9.0,4.9,4.5
4aej,8.9,7.0,13.9,12.1
2oka,13.0,6.4,6.3,6.4
2irp,19.5,14.4,8.2,8.7
1zf1,58.0,43.0,2.0,1.3
1tw2,5.9,6.0,11.5,13.2
3dut,11.7,10.9,12.9,13.5
1xf6,6.5,5.5,13.5,14.7
4jim,3.1,2.8,23.6,23.0
2elb,22.5,14.6,8.5,7.3
1f0o,13.0,8.6,8.9,7.8
1kbl,10.0,8.8,14.4,20.1
2ode,2.6,2.1,19.7,20.2
1lfk,4.8,3.2,7.3,8.4
2j9j,14.4,4.1,8.4,9.1
1qcz,5.0,4.9,5.1,3.2
2z58,10.4,5.7,7.4,7.9
2isn,12.8,9.4,11.3,13.4
3nm8,16.5,14.1,12.0,13.9
2v1x,2.8,3.6,22.8,20.6
2vst,7.2,5.0,9.0,10.0
4aqv,2.8,2.1,3.0,1.2
3ew3,19.8,14.4,9.9,9.2
3oid,3.2,2.9,16.5,23.0
3w3g,11.0,4.0,24.1,30.2
