3p0s,0.209,0.56,0.563
2wws,0.23,0.53,0.546
2xpj,0.308,0.576,0.582
2bfu,0.23,0.545,0.499
3n7x,0.278,0.54,0.543
2iz9,0.2,0.543,0.46
1dwn,0.288,0.539,0.459
2wzr,0.23,0.493,0.398
2vf1,0.273,0.502,0.425
1m1c,0.266,0.493,0.392
1llc,0.374,0.482,0.495
2vf9,0.311,0.521,0.419
3ntt,0.252,0.547,0.348
4ar2,0.28,0.509,0.371
4gmp,0.269,0.546,0.357
3vdd,0.23,0.486,0.316
3bcc,0.289,0.509,0.373
3s4g,0.38,0.516,0.3
3lob,0.347,0.643,0.423
3qpr,0.461,0.487,0.387
1tdi,0.228,0.513,0.296
1ohg,0.373,0.545,0.307
3e8k,0.365,0.424,0.311
2qzv,0.615,0.614,0.563
2e0z,0.268,0.553,0.216
1wcd,0.219,0.48,0.268
4bcu,0.155,0.519,0.2
1ng0,0.281,0.581,0.324
4f5x,0.293,0.536,0.329
4g93,0.379,0.542,0.345
1bcc,0.27,0.457,0.302
1f2n,0.218,0.529,0.249
1ny7,0.202,0.486,0.172
3oah,0.275,0.525,0.246
1vb4,0.255,0.536,0.227
2gtl,0.288,0.521,0.315
2g33,0.36,0.563,0.333
2zzq,0.242,0.535,0.268
2ws9,0.275,0.516,0.249
1c8n,0.253,0.502,0.278
2w4z,0.296,0.521,0.271
1x9t,0.306,0.529,0.282
3r0r,0.225,0.488,0.249
4gb3,0.33,0.525,0.354
2g34,0.365,0.551,0.343
2c4y,0.192,0.542,0.171
1z7s,0.224,0.501,0.203
1ddl,0.151,0.515,0.172
2bq5,0.293,0.599,0.273
2c4z,0.191,0.539,0.172
3fbm,0.294,0.546,0.275
2gh8,0.249,0.512,0.231
1qjx,0.231,0.495,0.249
1f8v,0.219,0.552,0.237
2iz8,0.192,0.539,0.175
2bs1,0.245,0.547,0.228
4aqq,0.291,0.533,0.275
1qju,0.206,0.509,0.221
1x36,0.245,0.581,0.23
1pgw,0.212,0.493,0.199
2wff,0.462,0.48,0.45
2vq0,0.257,0.536,0.245
2fz2,0.276,0.528,0.264
2fz1,0.309,0.543,0.321
1x9p,0.307,0.513,0.295
3vbu,0.272,0.491,0.284
3hag,0.277,0.54,0.289
4gh4,0.167,0.537,0.178
3chx,0.342,0.324,0.332
1pgl,0.196,0.513,0.186
1a37,0.32,0.461,0.33
1lp3,0.338,0.473,0.329
3zfe,0.24,0.518,0.231
4fts,0.259,0.561,0.267
4fsj,0.262,0.574,0.27
3raa,0.294,0.543,0.286
2c4q,0.19,0.541,0.182
1qjy,0.233,0.491,0.241
4hl8,0.352,0.51,0.359
3tn9,0.265,0.527,0.258
3es5,0.248,0.514,0.241
1js9,0.238,0.484,0.231
4gbt,0.256,0.522,0.262
4fte,0.239,0.539,0.245
2x5i,0.288,0.534,0.282
2izn,0.197,0.527,0.191
1zba,0.183,0.513,0.177
1r2j,0.247,0.434,0.241
1k5m,0.216,0.507,0.222
2qqp,0.285,0.52,0.279
4jgy,0.227,0.497,0.222
4ftb,0.24,0.572,0.245
4ang,0.308,0.534,0.303
3zfg,0.249,0.53,0.244
3zff,0.243,0.511,0.238
3cji,0.258,0.521,0.253
2c51,0.185,0.545,0.18
1vak,0.211,0.552,0.206
1uf2,0.303,0.584,0.308
1ohf,0.219,0.483,0.214
3ux1,0.283,0.516,0.278
4g0r,0.216,0.533,0.212
3s6p,0.237,0.529,0.241
3ra4,0.212,0.523,0.208
2bu1,0.219,0.554,0.215
1laj,0.218,0.483,0.214
1a34,0.179,0.534,0.175
7msf,0.2,0.527,0.197
4iv1,0.19,0.516,0.187
3ra9,0.243,0.499,0.24
3ra8,0.245,0.514,0.248
2xbo,0.247,0.508,0.244
1h8t,0.246,0.497,0.249
5msf,0.188,0.53,0.186
4jgz,0.286,0.456,0.288
3vbo,0.227,0.49,0.225
2ztn,0.305,0.577,0.303
1b35,0.228,0.54,0.226
6msf,0.195,0.531,0.194
4aed,0.279,0.518,0.278
3vbs,0.273,0.477,0.272
3vbr,0.257,0.496,0.256
3vbf,0.236,0.496,0.237
3ra2,0.244,0.517,0.243
3kz4,0.328,0.536,0.329
1za7,0.245,0.536,0.244
1vb2,0.261,0.524,0.26
1rhq,0.273,0.274,0.274
4iv3,0.235,0.503,0.235
3vbh,0.217,0.505,0.217
2xgk,0.303,0.562,0.303
2wbh,0.275,0.508,0.275
2qij,0.331,0.524,0.331
2c50,0.219,0.515,0.219
2buk,0.273,0.548,0.273
1wce,0.371,0.552,0.371
3m8l,--,--,--
2btv,--,--,--
2zah,--,--,--
3nou,--,--,--
3dpr,--,--,--
1dzl,--,--,--
3dar,--,--,--
2w0c,--,--,--
1w39,--,--,--
1tnv,--,--,--
1vcr,--,--,--
3nop,--,--,--
2bny,--,--,--
1ei7,--,--,--
3not,--,--,--
2w4y,--,--,--
1x33,--,--,--
2izw,--,--,--
1x35,--,--,--
1vsz,--,--,--
3nap,--,--,--
