1jqm,0.00,0.00,0.00,4.3,2.1
1s74,0.00,0.00,0.00,3.3,1.4
1ysm,3.20,3.20,0.00,29.9,49.7
3b6p,4.80,4.50,3.10,37.6,36.9
3tcv,5.30,5.20,2.50,18.8,23.2
4fti,3.50,2.90,2.50,12.2,11.3
4kzk,4.70,3.90,3.80,13.1,14.7
3izm,8.20,8.20,6.10,184.1,320.9
4da5,3.50,3.40,3.60,19.9,28.1
3oj8,4.30,4.30,3.30,41.3,57.2
1not,5.10,5.10,0.00,2.4,0.6
3dw0,7.00,5.90,3.70,15.3,23.2
1ug6,7.30,7.30,4.90,13.6,22.7
3vtg,5.90,5.30,4.20,8.0,10.6
3tyv,5.10,4.80,3.80,41.6,56.7
3nht,4.10,3.90,3.30,14.2,17.0
3tsc,5.60,5.30,4.90,37.5,52.2
4kfp,6.90,6.70,5.90,26.7,46.9
3qet,4.80,4.80,4.50,38.7,42.7
2f7c,8.60,5.70,5.10,10.4,10.5
3a15,7.40,7.20,6.30,49.6,72.3
2y6m,7.10,6.70,8.30,12.5,13.3
3c6y,11.10,10.90,16.10,12.8,16.2
3k8u,7.50,7.00,5.50,6.0,5.8
476d,9.70,8.40,4.30,3.5,2.4
3q1r,4.90,4.90,4.70,26.7,32.9
4bsh,10.00,8.80,5.30,15.0,19.5
3ifw,9.90,8.20,7.20,9.9,10.8
1dx9,9.10,8.10,7.10,18.1,27.0
3sct,6.20,6.10,5.90,26.9,51.0
1boa,8.70,7.10,4.70,13.9,15.6
2lv1,2.00,2.00,2.20,72.9,88.9
3hnx,11.70,10.70,6.10,6.7,5.7
2nu1,11.60,10.40,11.20,11.4,9.9
4avw,6.70,6.70,7.20,15.1,18.7
1km5,9.70,6.30,6.70,10.2,10.3
4gh1,10.90,10.80,9.10,14.2,17.5
3uqf,5.10,5.00,6.60,20.0,19.4
1rwx,7.60,6.20,5.20,11.2,12.1
3uzv,4.80,3.70,3.20,13.0,12.7
1s3x,9.70,9.70,7.60,14.9,17.7
1oq3,4.90,4.90,0.90,63.7,82.2
2y9x,7.40,7.10,6.30,52.1,74.8
3es1,11.50,10.00,9.60,8.1,7.4
4hfc,6.90,6.80,7.00,51.3,62.9
4kbf,11.50,10.50,8.70,28.6,27.3
3rg5,5.60,4.30,7.40,11.1,16.1
3n1d,12.50,10.30,7.10,9.1,12.6
3a4a,7.20,7.10,4.20,19.3,31.1
3gny,7.90,5.90,5.20,4.1,2.8
